assembly_accession	organism_name	species_taxid	refseq_category
GCF_000010525.1	Azorhizobium caulinodans ORS 571	7	representative genome
GCF_000007725.1	Buchnera aphidicola str. Bp (Baizongia pistaciae)	9	representative genome
GCF_000218545.1	Cellulomonas gilvus ATCC 13127	11	representative genome
GCF_000020965.1	Dictyoglomus thermophilum H-6-12	14	representative genome
GCF_000378225.1	Methylophilus methylotrophus DSM 46235 = ATCC 53528	17	representative genome
GCF_000012885.1	Pelobacter carbinolicus DSM 2380	19	representative genome
GCF_001375595.1	Phenylobacterium immobile (ATCC 35973)	21	representative genome
GCF_001735525.1	Shewanella colwelliana	23	representative genome
GCF_000016585.1	Shewanella putrefaciens CN-32	24	representative genome
GCF_007197645.1	Shewanella hanedai	25	representative genome
GCF_900111765.1	Myxococcus fulvus	33	representative genome
GCF_000012685.1	Myxococcus xanthus DK 1622	34	representative genome
GCF_002305895.1	Myxococcus macrosporus DSM 14697	35	representative genome
GCF_900109545.1	Stigmatella aurantiaca	41	representative genome
GCF_002305875.1	Cystobacter fuscus	43	representative genome
GCF_003387095.1	Archangium gephyra	48	representative genome
GCF_000601485.1	Chondromyces apiculatus DSM 436	51	representative genome
GCF_001189295.1	Chondromyces crocatus	52	representative genome
GCF_002343915.1	Nannocystis exedens	54	representative genome
GCF_000067165.1	Sorangium cellulosum So ce56	56	representative genome
GCF_000382305.1	Vitreoscilla stercoraria DSM 513	61	representative genome
GCF_002222655.1	Vitreoscilla filiformis	63	representative genome
GCF_002355975.1	Lysobacter enzymogenes	69	representative genome
GCF_002951835.1	Simonsiella muelleri ATCC 29453	72	representative genome
GCF_013626205.1	Hyphomicrobium methylovorum	84	representative genome
GCF_000685215.1	Hyphomonas jannaschiana VP2	86	representative genome
GCF_006738645.1	Stella humosa	94	representative genome
GCF_004339465.1	Ancylobacter aquaticus	100	representative genome
GCF_002954665.1	Polaribacter glomeratus	102	representative genome
GCF_000427405.1	Flectobacillus major DSM 103	103	representative genome
GCF_000222485.1	Cyclobacterium marinum DSM 745	104	representative genome
GCF_000218895.1	Runella slithyformis DSM 19594	106	representative genome
GCF_901538385.1	Gemmata obscuriglobus UQM 2246	114	representative genome
GCF_000165715.2	Rubinisphaera brasiliensis DSM 5305	119	representative genome
GCF_000092105.1	Planctopirus limnophila DSM 3776	120	representative genome
GCF_008298035.1	Gimesia maris	122	representative genome
GCF_000153105.1	Blastopirellula marina DSM 3645	124	representative genome
GCF_000025185.1	Pirellula staleyi DSM 6068	125	representative genome
GCF_000186345.1	Isosphaera pallida ATCC 43644	128	representative genome
GCF_009685195.1	Methylocystis parvus	134	representative genome
GCF_000181575.2	Borreliella burgdorferi Bol26	139	representative genome
GCF_000956315.1	Borrelia hermsii CC1	140	representative genome
GCF_000512145.1	Borrelia parkeri HR1	141	representative genome
GCF_000012085.2	Borrelia turicatae 91E135	142	representative genome
GCF_001936255.1	Borrelia anserina Es	143	representative genome
GCF_000518125.1	Borrelia coriaceae ATCC 43381	144	representative genome
GCF_000378205.1	Sediminispirochaeta bajacaliforniensis DSM 16054	148	representative genome
GCF_000147075.1	Spirochaeta thermophila DSM 6192	154	representative genome
GCF_000008185.1	Treponema denticola ATCC 35405	158	representative genome
GCF_001676785.2	Brachyspira hyodysenteriae ATCC 27164	159	representative genome
GCF_000246755.1	Treponema pallidum subsp. pertenue str. SamoaD	160	representative genome
GCF_008153345.1	Treponema phagedenis	162	representative genome
GCF_900113965.1	Treponema bryantii	163	representative genome
GCF_900497595.1	Treponema pectinovorum	164	representative genome
GCF_000255555.1	Treponema saccharophilum DSM 2985	165	representative genome
GCF_000195275.1	Treponema succinifaciens DSM 2489	167	representative genome
GCF_004769835.1	Leptospira biflexa	172	representative genome
GCF_000217315.1	Leptospira interrogans serovar Copenhageni str. Fiocruz LV239	173	representative genome
GCF_000284315.1	Leptospirillum ferrooxidans C2-3	180	representative genome
GCF_000243335.1	Leptonema illini DSM 21528	183	representative genome
GCF_000829825.1	Magnetospirillum magnetotacticum MS-1	188	representative genome
GCF_000381985.1	Novispirillum itersonii subsp. itersonii ATCC 12639	189	representative genome
GCF_000420525.1	Aquaspirillum serpens DSM 68	190	representative genome
GCF_007827425.1	Azospirillum brasilense	192	representative genome
GCF_900177475.1	Azospirillum lipoferum	193	representative genome
GCF_009756375.1	Campylobacter coli	195	representative genome
GCF_001484645.1	Campylobacter fetus subsp. testudinum Sp3	196	representative genome
GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	197	reference genome
GCF_013372165.1	Campylobacter hyointestinalis subsp. lawsonii	198	representative genome
GCF_003048535.1	Campylobacter concisus	199	representative genome
GCF_000017465.2	Campylobacter curvus 525.92	200	representative genome
GCF_000019205.1	Campylobacter lari RM2100	201	representative genome
GCF_013372205.1	Campylobacter mucosalis	202	representative genome
GCF_004803795.1	Campylobacter rectus	203	representative genome
GCF_900699785.1	Campylobacter showae	204	representative genome
GCF_002220755.1	Campylobacter sputorum bv. paraureolyticus LMG 11764	206	representative genome
GCF_000224555.1	Helicobacter pylori Puno135	210	representative genome
GCF_000009305.1	Helicobacter acinonychis str. Sheeba	212	representative genome
GCF_003213725.2	Helicobacter cinaedi	213	representative genome
GCF_900196785.1	Helicobacter felis	214	representative genome
GCF_900450915.1	Helicobacter fennelliae	215	representative genome
GCF_900450885.1	Helicobacter muridarum	216	representative genome
GCF_900476215.1	Helicobacter mustelae	217	representative genome
GCF_004328865.1	Pseudoalteromonas carrageenovora	227	representative genome
GCF_000238355.1	Pseudoalteromonas haloplanktis ATCC 14393	228	representative genome
GCF_000054005.1	Brucella abortus 2308	235	representative genome
GCF_000016845.1	Brucella ovis ATCC 25840	236	representative genome
GCF_900475375.1	Elizabethkingia meningoseptica	238	representative genome
GCF_900176575.1	Planomicrobium okeanokoites	244	representative genome
GCF_000757385.1	Flavobacterium aquatile LMG 4008 = ATCC 11947	245	representative genome
GCF_900446785.1	Chryseobacterium balustinum	246	representative genome
GCF_009834475.1	Empedobacter brevis	247	representative genome
GCF_000425585.1	Terrimonas ferruginea DSM 30193	249	representative genome
GCF_004328965.1	Chryseobacterium gleum	250	representative genome
GCF_000355905.1	Psychroflexus gondwanensis ACAM 44	251	representative genome
GCF_006540005.1	Halomonas halmophila	252	representative genome
GCF_900460995.1	Chryseobacterium indologenes	253	representative genome
GCF_003815915.1	Chryseobacterium indoltheticum	254	representative genome
GCF_900453865.1	Myroides odoratus	256	representative genome
GCF_900457435.1	Sphingobacterium spiritivorum	258	representative genome
GCF_901482695.1	Sphingobacterium thalpophilum	259	representative genome
GCF_000742095.1	Francisella tularensis	263	representative genome
GCF_004063735.1	Paracoccus denitrificans	266	representative genome
GCF_001399775.1	Thermus aquaticus Y51MC23	271	representative genome
GCF_000091545.1	Thermus thermophilus HB8	274	representative genome
GCF_000771745.2	Thermus filiformis	276	representative genome
GCF_000376665.1	Meiothermus ruber DSM 1279	277	representative genome
GCF_005871085.1	Xanthobacter autotrophicus	280	representative genome
GCF_900461225.1	Comamonas testosteroni	285	representative genome
GCF_000006765.1	Pseudomonas aeruginosa PAO1	287	reference genome
GCF_002374815.1	Pseudoalteromonas atlantica	288	representative genome
GCF_009586235.1	Burkholderia cepacia	292	representative genome
GCF_900445995.1	Brevundimonas diminuta	293	representative genome
GCF_010448615.1	Pseudomonas fluorescens	294	representative genome
GCF_002269585.1	Pseudomonas fragi	296	representative genome
GCF_003574215.1	Hydrogenophilus thermoluteolus	297	representative genome
GCF_000967935.1	Pseudomonas marginalis	298	representative genome
GCF_000733715.2	Pseudomonas mendocina S5.2	300	representative genome
GCF_000510765.1	Pseudomonas oleovorans MOIL14HWK12	301	representative genome
GCF_000412675.1	Pseudomonas putida NBRC 14164	303	representative genome
GCF_004342485.1	Pelomonas saccharophila	304	representative genome
GCF_001879565.1	Ralstonia solanacearum OE1-1	305	representative genome
GCF_900638035.1	Pseudomonas stutzeri	316	representative genome
GCF_900113625.1	Pseudomonas syringae	317	representative genome
GCF_013391365.1	Ralstonia pickettii	329	representative genome
GCF_009931375.1	Burkholderia glumae	337	representative genome
GCF_013388375.1	Xanthomonas campestris pv. raphani	339	representative genome
GCF_001021935.1	Xanthomonas translucens pv. undulosa	343	representative genome
GCF_000961335.1	Xanthomonas citri pv. citri	346	representative genome
GCF_001021915.1	Xanthomonas oryzae pv. oryzicola	347	representative genome
GCF_006539865.1	Zoogloea ramigera	350	representative genome
GCF_002220155.1	Azotobacter chroococcum	353	representative genome
GCF_000021045.1	Azotobacter vinelandii DJ	354	representative genome
GCF_007002865.1	Agrobacterium tumefaciens	358	representative genome
GCF_000696095.1	Agrobacterium rhizogenes NBRC 13257	359	representative genome
GCF_013426735.1	Agrobacterium vitis	373	representative genome
GCF_000284375.1	Bradyrhizobium japonicum USDA 6	375	representative genome
GCF_003177055.1	Sinorhizobium fredii CCBAU 25509	380	representative genome
GCF_013170705.1	Mesorhizobium loti	381	representative genome
GCF_004003925.1	Sinorhizobium meliloti	382	representative genome
GCF_000271805.1	Rhizobium leguminosarum bv. viciae WSM1455	384	representative genome
GCF_001664385.1	Rhizobium phaseoli	396	representative genome
GCF_000330885.1	Rhizobium tropici CIAT 899	398	representative genome
GCF_000731315.1	Neorhizobium galegae bv. orientalis str. HAMBI 540	399	representative genome
GCF_005502435.1	Methylobacillus flagellatus	405	representative genome
GCF_000617925.1	Methylobacillus glycogenes JCM 2850	406	representative genome
GCF_000018845.1	Methylorubrum extorquens PA1	408	representative genome
GCF_003096615.1	Methylobacterium organophilum	410	representative genome
GCF_000008325.1	Methylococcus capsulatus str. Bath	414	representative genome
GCF_000427625.1	Methylobacter luteus IMV-B-3098	415	representative genome
GCF_000214665.1	Methylomonas methanica MC09	421	representative genome
GCF_000178815.2	Methylosinus trichosporium OB3b	426	representative genome
GCF_003113265.1	Methylosinus sporium	428	representative genome
GCF_000379545.1	Acetobacter aceti ATCC 23746	435	representative genome
GCF_003207935.1	Komagataeibacter hansenii	436	representative genome
GCF_004346035.1	Acidomonas methanolica	437	representative genome
GCF_000241585.2	Acetobacter pasteurianus NBRC 101655	438	representative genome
GCF_000583855.1	Gluconobacter oxydans DSM 3504	442	representative genome
GCF_001941585.1	Legionella pneumophila	446	representative genome
GCF_900450575.1	Fluoribacter bozemanae	447	representative genome
GCF_001467615.1	Legionella erythra	448	representative genome
GCF_000953655.1	Legionella hackeliae	449	representative genome
GCF_900461575.1	Legionella longbeachae	450	representative genome
GCF_000953635.1	Tatlockia micdadei	451	representative genome
GCF_900637495.1	Legionella spiritensis	452	representative genome
GCF_900639755.1	Legionella feeleii	453	representative genome
GCF_004564155.1	Legionella israelensis	454	representative genome
GCF_900114725.1	Legionella jamestowniensis DSM 19215	455	representative genome
GCF_900637635.1	Legionella jordanis	456	representative genome
GCF_900640015.1	Legionella rubrilucens	458	representative genome
GCF_900452835.1	Legionella steigerwaltii	460	representative genome
GCF_000236145.1	Fluoribacter dumoffii Tex-KL	463	representative genome
GCF_900450965.1	Fluoribacter gormanii	464	representative genome
GCF_900460175.1	Legionella maceachernii	466	representative genome
GCF_002116925.1	Acinetobacter baumannii	470	representative genome
GCF_900520355.1	Acinetobacter calcoaceticus	471	representative genome
GCF_003287015.1	Moraxella bovis	476	representative genome
GCF_900453205.1	Moraxella lacunata	477	representative genome
GCF_001679005.1	Moraxella nonliquefaciens	478	representative genome
GCF_000092265.1	Moraxella catarrhalis BBH18	480	representative genome
GCF_900475315.1	Neisseria cinerea	483	representative genome
GCF_900654165.1	Neisseria flavescens	484	representative genome
GCF_001047275.1	Neisseria gonorrhoeae	485	representative genome
GCF_001064605.1	Neisseria lactamica	486	representative genome
GCF_001064635.1	Neisseria meningitidis	487	representative genome
GCF_013267835.1	Neisseria mucosa	488	representative genome
GCF_003355195.1	Neisseria polysaccharea	489	representative genome
GCF_000260655.1	Neisseria sicca VK64	490	representative genome
GCF_008806995.1	Neisseria animalis	492	representative genome
GCF_900636765.1	Neisseria canis	493	representative genome
GCF_900453875.1	Bergeriella denitrificans	494	representative genome
GCF_003351545.1	Neisseria elongata	495	representative genome
GCF_000220865.1	Neisseria macacae ATCC 33926	496	representative genome
GCF_003148585.1	Psychrobacter immobilis	498	representative genome
GCF_000021685.1	Thermomicrobium roseum DSM 5159	500	representative genome
GCF_900451365.1	Kingella denitrificans	502	representative genome
GCF_011045755.1	Kingella kingae	504	representative genome
GCF_000160435.1	Kingella oralis ATCC 51147	505	representative genome
GCF_009497775.1	Alcaligenes faecalis	511	representative genome
GCF_900636925.1	Bordetella bronchiseptica	518	representative genome
GCF_004323615.1	Bordetella parapertussis	519	representative genome
GCF_000306945.1	Bordetella pertussis 18323	520	representative genome
GCF_000070465.1	Bordetella avium 197N	521	representative genome
GCF_000701585.1	Acidiphilium angustum ATCC 35903	523	representative genome
GCF_000687875.1	Acidocella facilis ATCC 35904	525	representative genome
GCF_900156265.1	Acidiphilium rubrum	526	representative genome
GCF_000742955.1	Ochrobactrum anthropi	529	representative genome
GCF_000153225.1	Polaribacter irgensii 23-P	531	representative genome
GCF_000019845.1	Beijerinckia indica subsp. indica ATCC 9039	533	representative genome
GCF_002081735.1	Chromobacterium violaceum	536	representative genome
GCF_900451195.1	Iodobacter fluviatilis	537	representative genome
GCF_002204395.1	Eikenella corrodens	539	representative genome
GCF_000007105.1	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	542	representative genome
GCF_000018045.1	Citrobacter koseri ATCC BAA-895	545	representative genome
GCF_002786865.1	Citrobacter freundii	546	representative genome
GCF_900637945.1	Klebsiella aerogenes	548	representative genome
GCF_003860325.1	Pantoea agglomerans	549	representative genome
GCF_002086975.1	Enterobacter cloacae subsp. cloacae	550	representative genome
GCF_000091565.1	Erwinia amylovora CFBP1430	552	representative genome
GCF_000233595.1	Pantoea ananatis PA13	553	representative genome
GCF_000023605.1	Pectobacterium carotovorum subsp. carotovorum PC1	554	representative genome
GCF_000023565.1	Dickeya chrysanthemi Ech1591	556	representative genome
GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655	562	reference genome
GCF_000008865.2	Escherichia coli O157:H7 str. Sakai	562	reference genome
GCF_000262305.1	Shimwellia blattae DSM 4481 = NBRC 105725	563	representative genome
GCF_013710195.1	Escherichia fergusonii	564	representative genome
GCF_008064855.1	Atlantibacter hermannii	565	representative genome
GCF_902164725.1	Pseudescherichia vulneris	566	representative genome
GCF_011617105.1	Hafnia alvei	569	representative genome
